,account,age,following,numVotes
244,bitbull1,9 days 09:29:28.129902000,2,49
245,olav,124 days 17:49:55.129902000,2,1
246,joeflanagan,6 days 07:41:40.129902000,1,5
247,primetime420,9 days 14:03:40.129902000,1,12
248,zachnachoz,39 days 07:04:40.129902000,1,2
249,vpks,7 days 08:43:40.129902000,1,1
250,plakeer,54 days 21:32:07.129902000,9,101
251,halfthesky195,45 days 16:03:55.129902000,10,17
252,dawgball,10 days 19:27:22.129902000,2,2
253,carlosmcolon1,24 days 20:55:07.129902000,0,1
254,mosconi,10 days 03:32:19.129902000,1,2
255,mattallen10s,10 days 19:24:13.129902000,1,1
256,kiree,39 days 22:01:04.129902000,3,1
257,them4nz0,13 days 14:17:22.129902000,1,37
258,navid31,6 days 21:16:07.129902000,0,1
259,goodwulff,36 days 22:48:40.129902000,4,3
260,spurnout,9 days 20:25:55.129902000,2,4
261,nghalion,20 days 19:44:31.129902000,2,2
262,jampanis,6 days 12:14:13.129902000,1,1
263,ryanb17,7 days 13:08:01.129902000,1,1
264,ford888,16 days 19:17:52.129902000,1,20
265,hideeeo,128 days 15:43:16.129902000,2,7
266,saganismyhero,320 days 15:51:16.129902000,1,1
267,bkim25,7 days 08:59:13.129902000,1,7
268,mattdamon,28 days 12:55:49.129902000,2,1
269,whatda,5 days 23:48:55.129902000,0,2
270,wiggium,64 days 04:24:49.129902000,0,1
271,jakubtatara,18 days 20:27:34.129902000,2,1
272,trancender,8 days 07:01:58.129902000,1,3
273,medic15,6 days 08:59:04.129902000,1,1
274,pcapanna,6 days 09:30:04.129902000,1,9
275,jazzsnobs,27 days 05:52:22.129902000,3,1
276,trif77,45 days 16:40:07.129902000,3,6
277,brvalenzue,11 days 23:15:46.129902000,2,2
278,mitsrock,7 days 13:39:40.129902000,1,1
279,nhantvo,16 days 13:44:37.129902000,1,1
280,gerkimi,5 days 17:04:13.129902000,0,1
281,chokos,16 days 14:21:04.129902000,3,1
282,hail.eris,5 days 19:15:28.129902000,0,2
283,madoza,16 days 12:10:22.129902000,1,2
284,deoge,26 days 18:13:58.129902000,0,1
285,erc5,6 days 14:33:31.129902000,1,8
